Date,USD,EUR
2018-12-01,1.276202,1.127633
2018-12-02,1.273869,1.127633
2018-12-03,1.272427,1.121674
2018-12-04,1.274835,1.1209
2018-12-05,1.277743,1.123073
2018-12-06,1.274372,1.123615
2018-12-07,1.273099,1.11895
2018-12-08,1.273099,1.118475
